date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:21:53	23723/23723	---M--	200	added ('OK')	application/octet-stream	etag:%221193e6c4da99f8965ebc4bfc6b1faf4d%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-boldit-webfont.eot?1307578394	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-boldit-webfont7adf.eot	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:21:53	23723/23723	---M--	200	added ('OK')	application/octet-stream	etag:%221193e6c4da99f8965ebc4bfc6b1faf4d%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-boldit-webfont.eot?iefix	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-boldit-webfont86d7.eot	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:21:53	2771/2771	---M--	404	error ('Not%20Found')	text/html	etag:%22ad6bd3ff2d48e32df5c869b98f0fe619%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-extrabold-webfont.eot?1307578394	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-extrabold-webfont7adf.eot	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:21:53	2771/2771	---M--	404	error ('Not%20Found')	text/html	etag:%22ad6bd3ff2d48e32df5c869b98f0fe619%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-extrabold-webfont.eot?iefix	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-extrabold-webfont86d7.eot	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:21:54	27008/27008	---M--	200	added ('OK')	application/octet-stream	etag:%22df6755c672085f7e58fce60b2d4ff3b3%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-boldit-webfont.woff?1307578394	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-boldit-webfont7adf.woff	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:21:54	1206/1206	---M--	200	added ('OK')	image/png	etag:%22e7a5dfc40e07bfbe2f0d5367ddf32958%22	http://d3gvvapon6fqzo.cloudfront.net/icons/select-up-down.png	C:/My%20Web%20Sites/angular-master-class/d3gvvapon6fqzo.cloudfront.net/icons/select-up-down.png	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:21:54	1048/1048	---M--	200	added ('OK')	image/png	etag:%226fca69d2f2ad5e3bde318dae0cb1d3e7%22	http://d2oz8i5n9se8ej.cloudfront.net/icons/course-complete.png	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/icons/course-complete.png	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:21:55	950/950	---M--	200	added ('OK')	image/png	etag:%22a0e3045c17ee67f96e8ab4f4e46092d8%22	http://d2oz8i5n9se8ej.cloudfront.net/icons/course-incomplete.png	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/icons/course-incomplete.png	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:21:55	24312/24312	---M--	200	added ('OK')	application/octet-stream	etag:%225982bb4c982fd97c562e1f52faf5c153%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-extrabold-webfont.woff?1307578394	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/proxima-nova/proximanova-extrabold-webfont7adf.woff	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:22:01	36408/36408	---M--	200	added ('OK')	application/octet-stream	etag:%229f803187a5ece579a3e9b351276d8ee7%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-MediumItalic.woff	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-MediumItalic.woff	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
